DATE_TIME,OBSERVATORY_NAME,SENSOR_TYPE,MINIMUM_TEMPERATURE,MAXIMUM_TEMPERATURE,AVERAGE_TEMPERATURE,MINIMUM_HUMIDITY,MAXIMUM_HUMIDITY,AVERAGE_HUMIDITY,MINIMUM_WIND,MAXIMUM_WIND,AVERAGE_WIND,MINIMUM_DIRECTIONOFWIND,MAXIMUM_DIRECTIONOFWIND,AVERAGE_DIRECTIONOFWIND,MINIMUM_PRECIPITATION,MAXIMUM_PRECIPITATION,AVERAGE_PRECIPITATION,MINIMUM_ROAD_TEMPERATURE,MAXIMUM_ROAD_TEMPERATURE,AVERAGE_ROAD_TEMPERATURE,MINIMUM_FELT_TEMPERATURE,MAXIMUM_FELT_TEMPERATURE,AVERAGE_FELT_TEMPERATURE
2020-10-11 19:00:00,BAYRAMOGLU_TUZLA,ICING_SENSOR,18.06,18.53,18.3215,72.68,80.3,76.22583,2.29,3.89,3.09,30,114,89.71667,0,0,0,17.3,17.3,17.3,18.56,19.51,18.9995
2020-10-05 12:00:00,SILIVRI_ORMAN_SAHASI,AUTOMATED_WEATHER_SENSOR,32.1,33.5,32.69375,27,30,28.47917,0.6,3.6,1.73958,176,308,230.10417,-99,-99,-99,-99,-99,-99,30.81,32.63,31.43646
2020-10-25 10:00:00,CAMLICA_TUNEL_K,ICING_SENSOR,26.05,27.8,26.37579,50.95,57.67,53.76298,0.589,1.975,1.2206,32,352,262.15789,0,0,0,32.3,35.2,33.28246,26.71,27.66,26.97684
2020-10-31 20:00:00,SUREYYAPASA,ICING_SENSOR,16.49,16.79,16.63231,61.8,67.71,64.29269,0.58,3.998,2.37871,136,280,206.73077,0,0,0,15.8,16.9,16.53846,16.56,18.29,17.27962
2020-10-10 11:00:00,SILE_ISAKOY,AUTOMATED_WEATHER_SENSOR,21.6,23.2,22.34167,60,71,62.81667,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2020-10-24 01:00:00,CAMLICA_TUNEL_K,ICING_SENSOR,16.71,16.9,16.82317,96.9,97.8,97.27333,0,1.467,0.64083,109,316,238.03333,0,0,0,15.6,17,16.58667,16.82,19.49,18.69917
2020-10-03 16:00:00,EMINONU,AUTOMATED_WEATHER_SENSOR,21.6,22.9,22.39667,53,58,55.6,0.3,2.9,1.26167,3,295,66.76667,0,0,0,-99,-99,-99,23.33,25.06,24.25733
2020-10-28 14:00:00,KARTAL_AYDOS_DAGI,AUTOMATED_WEATHER_SENSOR,17.1,18.1,17.62586,92,95,93.7931,5.5,8,6.40172,31,49,38.44828,-99,-99,-99,-99,-99,-99,16.64,17.95,17.3581
2020-10-18 16:00:00,BESIKTAS_YILDIZ,ICING_SENSOR,15.64,15.98,15.87067,80.2,84.7,82.385,0,3.49,1.08667,7,353,81.83333,0,0.22,0.05967,17.7,19.3,18.765,15.64,17.91,16.444
2020-10-15 05:00:00,USKUDAR_MGM,AUTOMATED_WEATHER_SENSOR,16.1,20.4,18.435,63,76,70.43333,0,1.9,0.98333,19,333,195.58333,0,0,0,-99,-99,-99,16.6,22.12,19.951
